"name","description","longitude","latitude","address"
"Dub Cote Cave",,"-2.27768","54.14243","Dub Cote, Horton in Ribblesdale, England, BD24 0ET, United Kingdom"
"Douk Gill Cave",,"-2.28222","54.1484","Douk Gill Plantation, United Kingdom"
"Losers Pot",,"-2.26565","54.1579","Penyghent Pot, Foxup Road, Horton in Ribblesdale, England, BD24 0EU, United Kingdom"
"Giggel Rav Pot",,"-2.26296","54.14509","Larch Tree Hole, Long Lane, Horton in Ribblesdale, England, BD24 0ET, United Kingdom"
"Brackenbottom Pot",,"-2.26416","54.14617","Larch Tree Hole, Long Lane, Horton in Ribblesdale, England, BD24 0ET, United Kingdom"
"Ling Gill 7",,"-2.30586","54.20249","Ling Gill Nature Preserve, United Kingdom"
"Exhumation Hole",,"-2.30566","54.20186","Ling Gill Nature Preserve, United Kingdom"
"Coppice Cave",,"-2.30422","54.2001","Fair Bottom Barn, Cam Road, Horton in Ribblesdale, England, BD24 0JQ, United Kingdom"
"Browgill",,"-2.3077","54.19493","Dry Lathe, Cam Road, Horton in Ribblesdale, England, BD24 0JQ, United Kingdom"
"Calf Holes",,"-2.30195","54.19363","Calf Holes / Dry Lathe Cave, Cam Road, Horton in Ribblesdale, England, BD24 0JQ, United Kingdom"
"Coppy Gill Exit",,"-2.30343","54.19006","Coppy Gill, BD24 0JQ, United Kingdom"
"Birkwith Cave",,"-2.30226","54.18794","Birkwith Cave, Cam Road, Horton in Ribblesdale, England, BD24 0JQ, United Kingdom"
"Dismal Hill",,"-2.29943","54.1867","Over Ground, United Kingdom"
"Dismal Hill (new ent)",,"-2.29985","54.18647","Over Ground, United Kingdom"
"Old Ing",,"-2.29673","54.18699","Old Ing Cave, Langstroth Dale Road, Horton in Ribblesdale, England, BD24 0JG, United Kingdom"
"Red Moss Pot (old ent)",,"-2.29246","54.17731","Middle Pasture, United Kingdom"
"Canal Cavern",,"-2.2929","54.177","Middle Pasture, United Kingdom"
"North Fair Bottom Cave",,"-2.30409","54.20039","Fair Bottom Barn, Cam Road, Horton in Ribblesdale, England, BD24 0JQ, United Kingdom"
"Ribblehead Cave 1",,"-2.34372","54.21313","Little Scar, LA6 3AS, United Kingdom"
"Runscar Cave (1)",,"-2.36089","54.21309","Runscar, Blea Moor Road, Ingleton, England, LA6 3AS, United Kingdom"
"Thistle Cave (1)",,"-2.36243","54.21328","Runscar, Blea Moor Road, Ingleton, England, LA6 3AS, United Kingdom"
"Scar Top Cave (old ent)",,"-2.36085","54.21363","Runscar, Blea Moor Road, Ingleton, England, LA6 3AS, United Kingdom"
"Middle Scar Cave",,"-2.35386","54.21227","Middle Scar, LA6 3AS, United Kingdom"
"Middle Scar Hole 1",,"-2.35399","54.21214","Runscar Scars, Ingleton, England, LA6 3AS, United Kingdom"
